fid,elev
1,155.79090881347656
2,91.98331451416016
3,86.07508087158203
4,108.2109603881836
5,196.65467834472656
6,159.46966552734375
7,105.9081802368164
8,85.30770874023438
9,287.90777587890625
10,106.33661651611328
11,213.0458526611328
12,100.20233154296875
13,88.5107650756836
14,89.97073364257812
15,107.31661987304688
16,84.02842712402344
17,100.34391784667969
18,108.5287094116211
19,86.68000030517578
20,81.80574035644531
21,329.18133544921875
22,109.39147186279297
23,81.11105346679688
24,86.27578735351562
25,463.1480712890625
26,99.5199966430664
27,91.47785186767578
28,95.99642944335938
29,87.03410339355469
30,92.65641784667969
31,245.67640686035156
32,164.02159118652344
33,212.67221069335938
34,112.00453186035156
35,142.44898986816406
36,94.9708480834961
37,111.22245788574219
38,86.1551284790039
39,96.8209457397461
40,558.7618408203125
41,86.37300109863281
42,91.3569564819336
43,260.49786376953125
44,170.9883270263672
45,87.72474670410156
46,83.95801544189453
47,87.78767395019531
48,238.80593872070312
49,93.38396453857422
50,91.55999755859375
51,165.53810119628906
52,112.79955291748047
53,84.00888061523438
54,93.45589447021484
55,98.75756072998047
56,421.71002197265625
57,80.5982894897461
58,90.08621978759766
59,107.94180297851562
60,212.4183349609375
61,110.28810119628906
62,90.00516510009766
63,495.89453125
64,92.33068084716797
65,233.3324737548828
66,88.5409164428711
67,104.0
68,152.42788696289062
69,82.83999633789062
70,308.794677734375
71,85.59451293945312
72,221.07017517089844
73,86.17736053466797
74,217.92813110351562
75,146.0069580078125
76,89.04277038574219
77,702.3328857421875
78,182.61346435546875
79,83.05718231201172
80,93.19999694824219
81,121.52450561523438
82,81.5245361328125
83,95.7854232788086
84,106.63580322265625
85,95.23999786376953
86,106.78472900390625
87,453.2882080078125
88,94.90657806396484
89,92.4000015258789
90,166.073486328125
91,90.04000091552734
92,86.0803451538086
93,133.1478271484375
94,106.03387451171875
95,82.88285827636719
96,93.78764343261719
97,88.29901123046875
98,354.4141540527344
99,202.19639587402344
100,89.0550308227539
101,139.64231872558594
102,223.5768280029297
103,79.88726806640625
104,74.13499450683594
105,101.87799835205078
106,233.94651794433594
107,91.91854858398438
108,92.04635620117188
109,82.30982971191406
110,78.94166564941406
111,85.83293151855469
112,79.52212524414062
113,89.27999877929688
114,93.4800033569336
115,250.52452087402344
116,83.80970001220703
117,226.83851623535156
118,444.3453674316406
119,234.89688110351562
120,84.19999694824219
121,82.28276062011719
122,86.78777313232422
123,124.89727783203125
124,206.9377899169922
125,102.5550308227539
126,95.19999694824219
127,97.44000244140625
128,191.109375
129,165.69515991210938
130,86.18138122558594
131,120.1030044555664
132,81.91534423828125
133,473.3580017089844
134,113.95458984375
135,157.16641235351562
136,92.033203125
137,119.07461547851562
138,91.5999984741211
139,81.30258178710938
140,83.21460723876953
141,369.4256896972656
142,82.53913879394531
143,94.90699005126953
144,96.01102447509766
145,139.1908721923828
146,121.05738067626953
147,214.41537475585938
148,113.4978256225586
149,112.2024154663086
150,186.2534942626953
151,115.51038360595703
152,561.0599975585938
153,174.26487731933594
154,87.72000122070312
155,88.668212890625
156,99.09542846679688
157,110.70610809326172
158,90.3975601196289
159,97.22742462158203
160,85.46588897705078
161,106.09312438964844
162,86.85990905761719
163,89.02218627929688
164,337.83026123046875
165,115.33149719238281
166,650.2135620117188
167,89.07626342773438
168,81.44359588623047
169,82.07423400878906
170,106.65625
171,89.24443817138672
172,90.22411346435547
173,89.5635757446289
174,191.5614776611328
175,266.2976379394531
176,89.76921081542969
177,120.02838897705078
178,139.68038940429688
179,186.6597137451172
180,102.37427520751953
181,88.39299774169922
182,110.0240478515625
183,82.39893341064453
184,108.05525207519531
185,87.66365814208984
186,92.04171752929688
187,244.13844299316406
188,737.49755859375
189,291.1197509765625
190,143.8120880126953
191,628.9476928710938
192,84.50595092773438
193,106.91471099853516
194,129.11729431152344
195,455.6033935546875
196,262.26690673828125
197,94.0114517211914
198,88.1714859008789
199,105.31999969482422
200,99.59131622314453
201,631.549560546875
202,108.57054901123047
203,80.3933334350586
204,86.55999755859375
205,109.19277954101562
206,104.42820739746094
207,271.607421875
208,93.32266998291016
209,126.4017333984375
210,87.23121643066406
211,88.12000274658203
212,109.03009796142578
213,89.30500030517578
214,92.63999938964844
215,184.0800018310547
216,87.20785522460938
217,193.85011291503906
218,350.71337890625
219,276.8399963378906
220,602.028076171875
221,102.88834381103516
222,85.3291015625
223,166.1271514892578
224,83.83646392822266
225,80.4836654663086
226,110.74199676513672
227,94.08341217041016
228,150.81553649902344
229,83.8292236328125
230,97.25437927246094
231,171.78985595703125
232,143.97523498535156
233,325.58148193359375
234,482.5684814453125
235,82.43828582763672
236,80.91068267822266
237,90.23371887207031
238,157.54612731933594
239,219.4339141845703
240,256.5483093261719
241,89.24701690673828
242,93.68375396728516
243,90.8683853149414
244,209.2462921142578
245,113.15657806396484
246,722.1614379882812
247,106.28849792480469
248,90.35667419433594
249,100.40198516845703
250,112.32500457763672
251,97.16190338134766
252,202.9364013671875
253,160.17332458496094
254,93.66580200195312
255,167.16819763183594
256,91.1570053100586
257,735.0955810546875
258,94.08145141601562
259,500.2312927246094
260,174.34181213378906
261,83.3790054321289
262,87.08338165283203
263,138.191162109375
264,569.3497924804688
265,530.2794799804688
266,172.51210021972656
267,637.0549926757812
268,103.68510437011719
269,747.0700073242188
270,289.1083984375
271,92.19999694824219
272,88.12000274658203
273,90.2880630493164
274,165.11041259765625
