fid,elev
1,175.2496337890625
4,90.10153198242188
5,92.01261901855469
9,127.42936706542969
11,97.06842803955078
18,87.7436294555664
25,112.17288208007812
26,179.4993133544922
28,116.3922119140625
30,105.99758911132812
40,93.56171417236328
41,91.11331939697266
42,92.19769287109375
48,94.83550262451172
69,110.65501403808594
71,140.1134033203125
80,103.18048858642578
90,102.19274139404297
103,115.85969543457031
110,102.98955535888672
113,85.90572357177734
116,97.4971694946289
126,93.38111114501953
180,92.92135620117188
283,150.75587463378906
474,92.73526000976562
481,109.42725372314453
490,112.05704498291016
496,116.84082794189453
513,105.89546966552734
514,96.22368621826172
516,86.67364501953125
517,86.18122863769531
520,121.59636688232422
521,111.17178344726562
522,110.94383239746094
523,98.85894012451172
525,115.09088134765625
526,112.74213409423828
528,112.27799987792969
529,112.86901092529297
535,115.33009338378906
540,153.15896606445312
541,134.11390686035156
542,128.93411254882812
543,128.06866455078125
544,129.9170379638672
545,135.69268798828125
546,118.0740737915039
552,89.46957397460938
556,174.57467651367188
557,144.63388061523438
562,92.92135620117188
592,94.03704071044922
