fid,elev
2,240.67758178710938
3,122.0
6,91.35186004638672
7,93.58731842041016
8,127.32801818847656
12,97.79940795898438
14,90.12599182128906
15,89.95588684082031
16,89.46186828613281
17,88.64485931396484
19,90.90579986572266
20,98.16413116455078
21,93.01592254638672
22,94.98400115966797
23,95.43607330322266
27,102.31322479248047
29,79.66407775878906
31,120.35687255859375
32,125.4049301147461
33,133.13327026367188
34,151.74195861816406
35,243.7261962890625
36,86.90428924560547
37,203.34910583496094
38,210.6403350830078
39,91.57437896728516
43,86.11544799804688
44,136.71218872070312
45,110.33583068847656
49,363.76800537109375
50,250.21913146972656
51,109.56968688964844
52,89.82671356201172
53,124.35205078125
54,146.3773193359375
55,163.4001007080078
56,114.75196838378906
57,86.72486877441406
58,95.83489990234375
59,243.08526611328125
60,88.3304672241211
62,83.5930404663086
92,106.26286315917969
105,115.95169830322266
106,88.77098083496094
132,99.242431640625
140,90.27006530761719
211,83.62165832519531
227,197.80653381347656
247,117.71257019042969
279,157.75582885742188
312,93.22234344482422
313,87.24105072021484
314,96.47234344482422
315,95.83463287353516
472,87.89107513427734
473,92.49482727050781
475,133.3560333251953
476,84.67407989501953
477,160.14772033691406
478,174.1313934326172
479,126.81990051269531
492,111.9749526977539
515,89.50617218017578
524,92.25523376464844
527,177.59286499023438
530,163.81558227539062
531,118.5914535522461
532,107.85848999023438
533,148.98329162597656
534,124.35306549072266
536,112.53819274902344
537,80.12847900390625
538,87.8199691772461
539,141.46542358398438
547,243.15652465820312
548,87.666259765625
549,112.3207778930664
550,124.91193389892578
551,93.88407135009766
553,109.42762756347656
656,92.17767333984375
657,88.91381072998047
