fid,elev
1,175.2496337890625
2,240.67758178710938
3,122.0
4,90.10153198242188
5,92.01261901855469
6,91.35186004638672
7,93.58731842041016
8,127.32801818847656
9,127.42936706542969
11,97.06842803955078
12,97.79940795898438
14,90.12599182128906
15,89.95588684082031
16,89.46186828613281
17,88.64485931396484
18,87.7436294555664
19,90.90579986572266
20,98.16413116455078
21,93.01592254638672
22,94.98400115966797
23,95.43607330322266
25,112.17288208007812
26,179.4993133544922
27,102.31322479248047
28,116.3922119140625
29,79.66407775878906
30,105.99758911132812
31,120.35687255859375
32,125.4049301147461
33,133.13327026367188
34,151.74195861816406
35,243.7261962890625
36,86.90428924560547
37,203.34910583496094
38,210.6403350830078
39,91.57437896728516
40,93.56171417236328
41,91.11331939697266
42,92.19769287109375
43,86.11544799804688
44,136.71218872070312
45,110.33583068847656
48,94.83550262451172
49,363.76800537109375
50,250.21913146972656
51,109.56968688964844
52,89.82671356201172
53,124.35205078125
54,146.3773193359375
55,163.4001007080078
56,114.75196838378906
57,86.72486877441406
58,95.83489990234375
59,243.08526611328125
60,88.3304672241211
62,83.5930404663086
69,110.65501403808594
71,140.1134033203125
80,103.18048858642578
90,102.19274139404297
92,106.26286315917969
103,115.85969543457031
105,115.95169830322266
106,88.77098083496094
110,102.98955535888672
113,85.90572357177734
116,97.4971694946289
126,93.38111114501953
132,99.242431640625
140,90.27006530761719
180,92.92135620117188
211,83.62165832519531
227,197.80653381347656
247,117.71257019042969
279,157.75582885742188
283,150.75587463378906
312,93.22234344482422
313,87.24105072021484
314,96.47234344482422
315,95.83463287353516
472,87.89107513427734
473,92.49482727050781
474,92.73526000976562
475,133.3560333251953
476,84.67407989501953
477,160.14772033691406
478,174.1313934326172
479,126.81990051269531
481,109.42725372314453
490,112.05704498291016
492,111.9749526977539
496,116.84082794189453
513,105.89546966552734
514,96.22368621826172
515,89.50617218017578
516,86.67364501953125
517,86.18122863769531
520,121.59636688232422
521,111.17178344726562
522,110.94383239746094
523,98.85894012451172
524,92.25523376464844
525,115.09088134765625
526,112.74213409423828
527,177.59286499023438
528,112.27799987792969
529,112.86901092529297
530,163.81558227539062
531,118.5914535522461
532,107.85848999023438
533,148.98329162597656
534,124.35306549072266
535,115.33009338378906
536,112.53819274902344
537,80.12847900390625
538,87.8199691772461
539,141.46542358398438
540,153.15896606445312
541,134.11390686035156
542,128.93411254882812
543,128.06866455078125
544,129.9170379638672
545,135.69268798828125
546,118.0740737915039
547,243.15652465820312
548,87.666259765625
549,112.3207778930664
550,124.91193389892578
551,93.88407135009766
552,89.46957397460938
553,109.42762756347656
556,174.57467651367188
557,144.63388061523438
562,92.92135620117188
592,94.03704071044922
656,92.17767333984375
657,88.91381072998047
