fid,tri
1,10.771326065063477
2,2.763314723968506
3,21.93050193786621
4,1.4304758310317993
5,1.3078711032867432
6,0.5280760526657104
7,2.1494126319885254
8,5.126765727996826
9,1.4706394672393799
11,1.4373486042022705
12,1.2810834646224976
14,0.7060146927833557
15,3.929086446762085
16,1.541028380393982
17,4.080418109893799
18,0.7150471210479736
19,0.3834644556045532
20,18.76314353942871
21,1.821959376335144
22,0.04704764485359192
23,0.9191616177558899
25,0.6014187932014465
26,6.971279144287109
27,2.826685667037964
28,1.5627250671386719
29,0.6902719140052795
30,3.3331234455108643
31,1.4605971574783325
32,0.8814212083816528
33,1.353895664215088
34,0.8993480801582336
35,7.69728946685791
36,4.878286838531494
37,9.636784553527832
38,2.464761257171631
39,0.7882829308509827
40,0.6057418584823608
41,1.664306879043579
42,1.5372847318649292
43,0.3405585289001465
44,0.7302279472351074
45,8.956456184387207
48,1.0586742162704468
49,0.7748057246208191
50,7.034392833709717
51,1.6421525478363037
52,1.2736785411834717
53,1.5485562086105347
54,7.620753765106201
55,4.682419776916504
56,0.3530184328556061
57,0.5787332653999329
58,0.8309177756309509
59,10.556472778320312
60,1.6402019262313843
62,0.33916208148002625
63,0.9001616835594177
64,0.6466341614723206
65,0.7212552428245544
66,2.48492693901062
67,0.6224432587623596
68,11.33277702331543
69,3.397336959838867
70,6.519871711730957
71,1.1880815029144287
72,2.9723992347717285
73,5.696903228759766
78,0.472176194190979
80,0.9039344191551208
85,7.777632713317871
90,0.7344173789024353
91,1.9616647958755493
92,0.6131477355957031
93,0.2485547959804535
95,0.5154598355293274
103,3.3821663856506348
105,0.9371687769889832
106,0.6762283444404602
110,9.049248695373535
113,1.3575000762939453
114,1.297110915184021
115,4.199384689331055
116,5.729379653930664
117,1.3978261947631836
118,0.8007599115371704
119,0.895165741443634
123,1.8649649620056152
124,0.9386194348335266
126,1.3906611204147339
132,0.6899367570877075
133,0.5959925055503845
134,0.3847878575325012
135,0.270173043012619
136,0.9008790254592896
137,1.0409897565841675
138,1.0226253271102905
139,0.902249276638031
140,0.7130957245826721
141,0.4093204140663147
142,0.6345189213752747
143,0.809692919254303
144,1.2595114707946777
145,0.19166110455989838
146,1.8613656759262085
147,0.8583039045333862
