fid,tri
1,10.771326065063477
2,2.763314723968506
3,21.93050193786621
4,1.4304758310317993
5,1.3078711032867432
6,0.5280760526657104
7,2.1494126319885254
8,5.126765727996826
9,1.4706394672393799
11,1.4373486042022705
12,1.2810834646224976
14,0.7060146927833557
15,3.929086446762085
16,1.541028380393982
17,4.080418109893799
18,0.7150471210479736
19,0.3834644556045532
20,18.76314353942871
21,1.821959376335144
22,0.04704764485359192
23,0.9191616177558899
25,0.6014187932014465
26,6.971279144287109
27,2.826685667037964
28,1.5627250671386719
29,0.6902719140052795
30,3.3331234455108643
31,1.4605971574783325
32,0.8814212083816528
33,1.353895664215088
34,0.8993480801582336
35,7.69728946685791
36,4.878286838531494
37,9.636784553527832
38,2.464761257171631
39,0.7882829308509827
40,0.6057418584823608
41,1.664306879043579
42,1.5372847318649292
43,0.3405585289001465
44,0.7302279472351074
45,8.956456184387207
48,1.0586742162704468
49,0.7748057246208191
50,7.034392833709717
51,1.6421525478363037
52,1.2736785411834717
53,1.5485562086105347
54,7.620753765106201
55,4.682419776916504
56,0.3530184328556061
57,0.5787332653999329
58,0.8309177756309509
59,10.556472778320312
60,1.6402019262313843
62,0.33916208148002625
69,3.397336959838867
71,1.1880815029144287
80,0.9039344191551208
90,0.7344173789024353
92,0.6131477355957031
103,3.3821663856506348
105,0.9371687769889832
106,0.6762283444404602
110,9.049248695373535
113,1.3575000762939453
116,5.729379653930664
126,1.3906611204147339
132,0.6899367570877075
140,0.7130957245826721
180,0.8650218844413757
211,0.8142591118812561
227,2.943925619125366
247,0.4424644708633423
279,1.1082568168640137
283,5.108500957489014
312,1.361666202545166
313,0.9850353598594666
314,1.6571773290634155
315,1.3932838439941406
472,1.0353655815124512
473,0.5853329300880432
474,1.8901664018630981
475,4.7269792556762695
476,0.7080896496772766
477,5.827422142028809
478,2.282008647918701
479,12.927591323852539
481,1.2200580835342407
490,4.80743932723999
492,11.353805541992188
496,0.5640251040458679
513,4.46774959564209
514,10.473675727844238
515,0.9900599718093872
516,1.0212191343307495
517,2.813789129257202
520,8.008085250854492
521,0.46194401383399963
522,2.9672889709472656
523,4.529194355010986
524,1.2759183645248413
525,1.5765471458435059
526,1.2921044826507568
527,2.9196889400482178
528,0.19984041154384613
529,1.8459540605545044
530,2.2510287761688232
531,2.3638503551483154
532,0.4755552411079407
533,7.152900218963623
534,4.497437953948975
535,1.9012584686279297
536,0.9767877459526062
537,0.1475675106048584
538,3.0296714305877686
539,11.078115463256836
540,3.7548880577087402
541,4.079230785369873
542,3.37005877494812
543,0.4673028290271759
544,1.320471167564392
545,4.84861946105957
546,3.1931345462799072
547,3.5517125129699707
548,1.6358327865600586
549,0.8331137299537659
550,1.0725529193878174
551,0.5843912959098816
552,10.219928741455078
553,8.832881927490234
556,4.657775402069092
557,9.914132118225098
562,0.8650218844413757
592,0.7455477714538574
656,2.551378011703491
657,0.737770676612854
