fid,tri
1,10.771326065063477
4,1.4304758310317993
5,1.3078711032867432
9,1.4706394672393799
11,1.4373486042022705
18,0.7150471210479736
25,0.6014187932014465
26,6.971279144287109
28,1.5627250671386719
30,3.3331234455108643
40,0.6057418584823608
41,1.664306879043579
42,1.5372847318649292
48,1.0586742162704468
69,3.397336959838867
71,1.1880815029144287
80,0.9039344191551208
90,0.7344173789024353
103,3.3821663856506348
110,9.049248695373535
113,1.3575000762939453
116,5.729379653930664
126,1.3906611204147339
180,0.8650218844413757
283,5.108500957489014
474,1.8901664018630981
481,1.2200580835342407
490,4.80743932723999
496,0.5640251040458679
513,4.46774959564209
514,10.473675727844238
516,1.0212191343307495
517,2.813789129257202
520,8.008085250854492
521,0.46194401383399963
522,2.9672889709472656
523,4.529194355010986
525,1.5765471458435059
526,1.2921044826507568
528,0.19984041154384613
529,1.8459540605545044
535,1.9012584686279297
540,3.7548880577087402
541,4.079230785369873
542,3.37005877494812
543,0.4673028290271759
544,1.320471167564392
545,4.84861946105957
546,3.1931345462799072
552,10.219928741455078
556,4.657775402069092
557,9.914132118225098
562,0.8650218844413757
592,0.7455477714538574
