fid,tri
2,2.763314723968506
3,21.93050193786621
6,0.5280760526657104
7,2.1494126319885254
8,5.126765727996826
12,1.2810834646224976
14,0.7060146927833557
15,3.929086446762085
16,1.541028380393982
17,4.080418109893799
19,0.3834644556045532
20,18.76314353942871
21,1.821959376335144
22,0.04704764485359192
23,0.9191616177558899
27,2.826685667037964
29,0.6902719140052795
31,1.4605971574783325
32,0.8814212083816528
33,1.353895664215088
34,0.8993480801582336
35,7.69728946685791
36,4.878286838531494
37,9.636784553527832
38,2.464761257171631
39,0.7882829308509827
43,0.3405585289001465
44,0.7302279472351074
45,8.956456184387207
49,0.7748057246208191
50,7.034392833709717
51,1.6421525478363037
52,1.2736785411834717
53,1.5485562086105347
54,7.620753765106201
55,4.682419776916504
56,0.3530184328556061
57,0.5787332653999329
58,0.8309177756309509
59,10.556472778320312
60,1.6402019262313843
62,0.33916208148002625
92,0.6131477355957031
105,0.9371687769889832
106,0.6762283444404602
132,0.6899367570877075
140,0.7130957245826721
211,0.8142591118812561
227,2.943925619125366
247,0.4424644708633423
279,1.1082568168640137
312,1.361666202545166
313,0.9850353598594666
314,1.6571773290634155
315,1.3932838439941406
472,1.0353655815124512
473,0.5853329300880432
475,4.7269792556762695
476,0.7080896496772766
477,5.827422142028809
478,2.282008647918701
479,12.927591323852539
492,11.353805541992188
515,0.9900599718093872
524,1.2759183645248413
527,2.9196889400482178
530,2.2510287761688232
531,2.3638503551483154
532,0.4755552411079407
533,7.152900218963623
534,4.497437953948975
536,0.9767877459526062
537,0.1475675106048584
538,3.0296714305877686
539,11.078115463256836
547,3.5517125129699707
548,1.6358327865600586
549,0.8331137299537659
550,1.0725529193878174
551,0.5843912959098816
553,8.832881927490234
656,2.551378011703491
657,0.737770676612854
