fid,c_frag
1,54.0
2,32.0
3,38.0
4,32.0
5,48.0
6,96.0
7,38.0
8,48.0
9,50.0
10,60.0
11,40.0
12,97.0
13,53.0
14,50.0
15,88.0
16,45.0
17,68.0
18,38.0
19,41.0
20,47.0
21,32.0
22,49.0
23,56.0
24,61.0
25,31.0
26,46.0
27,41.0
28,46.0
29,41.0
30,42.0
31,46.0
32,44.0
33,72.0
34,50.0
35,34.0
36,32.0
37,43.0
38,40.0
39,49.0
40,32.0
41,43.0
42,53.0
43,33.0
44,56.0
45,47.0
46,52.0
47,41.0
48,49.0
49,31.0
50,103.0
51,56.0
52,31.0
53,67.0
54,64.0
55,45.0
56,31.0
57,110.0
58,46.0
59,43.0
60,49.0
61,55.0
62,77.0
63,37.0
64,59.0
65,56.0
66,54.0
67,51.0
68,44.0
69,31.0
70,46.0
71,41.0
72,50.0
73,34.0
74,35.0
75,66.0
76,40.0
77,39.0
78,63.0
79,32.0
80,39.0
81,38.0
82,43.0
83,74.0
84,47.0
85,50.0
86,59.0
87,51.0
88,32.0
89,53.0
90,57.0
91,122.0
92,37.0
93,36.0
94,46.0
95,49.0
96,61.0
97,33.0
98,59.0
99,53.0
100,77.0
101,70.0
102,33.0
103,67.0
104,34.0
105,57.0
106,38.0
107,48.0
108,68.0
109,41.0
110,40.0
111,52.0
112,42.0
113,64.0
114,41.0
115,37.0
116,47.0
117,46.0
118,33.0
119,53.0
120,35.0
121,84.0
122,35.0
123,58.0
124,31.0
125,45.0
126,37.0
127,34.0
128,52.0
129,41.0
130,34.0
131,33.0
132,44.0
133,133.0
134,42.0
135,57.0
136,32.0
137,34.0
138,55.0
139,36.0
140,87.0
141,61.0
142,44.0
143,48.0
144,59.0
145,60.0
146,41.0
147,52.0
148,75.0
149,66.0
150,38.0
151,45.0
152,33.0
153,37.0
154,54.0
155,44.0
156,47.0
157,46.0
158,37.0
159,34.0
160,31.0
161,67.0
162,37.0
163,50.0
164,55.0
165,
166,50.0
167,57.0
168,38.0
169,36.0
170,43.0
171,147.0
172,37.0
173,40.0
174,30.0
175,35.0
176,44.0
177,
178,60.0
179,45.0
180,41.0
181,61.0
182,46.0
183,44.0
184,45.0
185,40.0
186,35.0
187,57.0
188,49.0
189,72.0
190,102.0
191,63.0
192,54.0
193,79.0
194,31.0
195,85.0
196,31.0
197,55.0
198,51.0
199,60.0
200,33.0
201,32.0
202,31.0
203,36.0
204,45.0
205,42.0
206,46.0
207,55.0
208,30.0
209,44.0
210,64.0
211,57.0
212,44.0
213,48.0
214,72.0
215,45.0
216,51.0
217,43.0
218,67.0
219,31.0
220,86.0
221,50.0
222,36.0
223,36.0
224,50.0
225,42.0
226,68.0
227,31.0
228,38.0
229,42.0
230,31.0
231,38.0
232,54.0
233,59.0
234,58.0
235,46.0
236,42.0
237,32.0
238,36.0
239,70.0
240,45.0
241,37.0
242,43.0
243,37.0
244,42.0
245,74.0
246,36.0
247,53.0
248,39.0
249,47.0
250,100.0
251,50.0
252,42.0
253,56.0
254,41.0
255,37.0
256,44.0
257,39.0
258,43.0
259,57.0
260,40.0
261,46.0
262,32.0
263,50.0
264,32.0
265,34.0
266,55.0
267,43.0
268,36.0
269,35.0
270,31.0
271,61.0
272,71.0
273,68.0
274,67.0
