fid,c_frag
1,43.0
2,71.0
3,37.0
4,116.0
5,52.0
6,54.0
7,39.0
8,44.0
9,88.0
10,34.0
11,37.0
12,36.0
13,35.0
14,37.0
15,79.0
16,42.0
17,74.0
18,73.0
19,40.0
20,31.0
21,72.0
22,38.0
23,31.0
24,42.0
25,156.0
26,36.0
27,42.0
28,56.0
29,83.0
30,49.0
31,31.0
32,71.0
33,67.0
34,34.0
35,54.0
36,76.0
37,40.0
38,37.0
39,55.0
40,159.0
41,35.0
42,44.0
43,57.0
44,62.0
45,41.0
46,40.0
47,53.0
48,62.0
49,58.0
50,31.0
51,55.0
52,41.0
53,
54,43.0
55,64.0
56,128.0
57,48.0
58,54.0
59,74.0
60,49.0
61,80.0
62,87.0
63,138.0
64,36.0
65,59.0
66,83.0
67,37.0
68,42.0
69,30.0
70,79.0
71,32.0
72,46.0
73,41.0
74,31.0
75,63.0
76,34.0
77,151.0
78,33.0
79,31.0
80,42.0
81,45.0
82,33.0
83,55.0
84,39.0
85,32.0
86,98.0
87,140.0
88,68.0
89,32.0
90,59.0
91,58.0
92,33.0
93,40.0
94,50.0
95,56.0
96,51.0
97,73.0
98,122.0
99,51.0
100,49.0
101,45.0
102,55.0
103,46.0
104,47.0
105,42.0
106,33.0
107,42.0
108,34.0
109,33.0
110,34.0
111,34.0
112,50.0
113,34.0
114,32.0
115,48.0
116,39.0
117,60.0
118,114.0
119,72.0
120,31.0
121,60.0
122,42.0
123,52.0
124,49.0
125,33.0
126,40.0
127,44.0
128,49.0
129,51.0
130,70.0
131,36.0
132,53.0
133,134.0
134,72.0
135,57.0
136,70.0
137,44.0
138,40.0
139,35.0
140,46.0
141,104.0
142,74.0
143,54.0
144,35.0
145,51.0
146,37.0
147,42.0
148,31.0
149,40.0
150,57.0
151,40.0
152,170.0
153,74.0
154,65.0
155,42.0
156,65.0
157,36.0
158,35.0
159,31.0
160,68.0
161,93.0
162,44.0
163,39.0
164,113.0
165,38.0
166,145.0
167,44.0
168,36.0
169,40.0
170,95.0
171,40.0
172,31.0
173,
174,44.0
175,52.0
176,44.0
177,51.0
178,52.0
179,47.0
180,44.0
181,37.0
182,56.0
183,34.0
184,37.0
185,55.0
186,39.0
187,67.0
188,156.0
189,71.0
190,49.0
191,128.0
192,34.0
193,39.0
194,43.0
195,107.0
196,73.0
197,53.0
198,44.0
199,47.0
200,65.0
201,165.0
202,62.0
203,37.0
204,48.0
205,41.0
206,36.0
207,61.0
208,46.0
209,53.0
210,33.0
211,38.0
212,103.0
213,42.0
214,32.0
215,71.0
216,31.0
217,75.0
218,73.0
219,57.0
220,116.0
221,75.0
222,36.0
223,57.0
224,42.0
225,31.0
226,59.0
227,53.0
228,56.0
229,36.0
230,42.0
231,68.0
232,55.0
233,81.0
234,144.0
235,50.0
236,73.0
237,47.0
238,36.0
239,50.0
240,62.0
241,55.0
242,55.0
243,33.0
244,52.0
245,38.0
246,177.0
247,34.0
248,32.0
249,67.0
250,35.0
251,58.0
252,35.0
253,73.0
254,53.0
255,40.0
256,71.0
257,126.0
258,42.0
259,171.0
260,39.0
261,37.0
262,34.0
263,55.0
264,204.0
265,97.0
266,58.0
267,145.0
268,63.0
269,182.0
270,53.0
271,34.0
272,31.0
273,44.0
274,42.0
