varijabla,test,k_kat,n_cramers,statistika,p_value,znacajnost_005,znacajnost_005_bonf,cramers_v,cramers_v_interp,cohens_w,cohens_w_interp,promjena_interp
aspect_cat4,chi2_2samp,4.0,118.0,4.149373713778317,0.24577966659222966,False,False,0.1875211561799641,mali,0.1875211561799641,mali,False
vtt_r100,chi2_2samp,5.0,548.0,53.8003045643495,5.79453879965184e-11,True,True,0.31333007876058155,srednji,0.31333007876058155,srednji,False
vtt_r250,chi2_2samp,5.0,548.0,46.5773475527301,1.867502921718577e-09,True,True,0.29153929369427317,mali,0.29153929369427317,mali,False
vtt_r500,chi2_2samp,5.0,548.0,45.39278168897043,3.29431331451119e-09,True,True,0.28780817088478955,mali,0.28780817088478955,mali,False
vtt_r1000,chi2_2samp,5.0,548.0,47.27212747505175,1.3383178297436822e-09,True,True,0.29370564574303865,mali,0.29370564574303865,mali,False
