cluster_id,threshold,area_km2,n_pixels,prob_max,prob_mean,prob_p75,centroid_x,centroid_y,dist_to_known_m,nearest_known_fid,contains_known,n_known_inside,score_size,score_discovery,mean_prob_poly,mean_unc,mean_confident_prob,confidence_score,is_high_confidence
1449,0.85,0.03,48,0.9247,0.8989,0.91,607081.77,5001864.06,5860.93,58,0,0,0.026967,8.022697,0.8989,0.19,0.7088,0.7088,0
112,0.85,0.01,16,0.8867,0.874,0.8835,664796.88,5075628.12,1285.6,41,0,0,0.00874,6.348429,0.874,0.1653,0.7087,0.7087,0
1329,0.85,0.145,232,0.9189,0.8826,0.8978,709935.99,5012787.28,333.42,85,0,0,0.127984,5.341094,0.8826,0.174,0.7087,0.7087,0
1333,0.85,0.0187,30,0.9042,0.8917,0.8968,643905.83,5013075.0,68.58,525,1,1,0.01672,3.835977,0.8917,0.183,0.7087,0.7087,0
1234,0.85,0.0963,154,0.9195,0.886,0.9135,702012.82,5015724.19,2762.03,105,0,0,0.085273,7.286207,0.886,0.1778,0.7081,0.7081,0
1205,0.85,0.1375,220,0.9471,0.8848,0.9048,708718.3,5016616.7,705.17,266,0,0,0.121658,6.212544,0.8848,0.1768,0.708,0.708,0
1215,0.85,0.8769,1403,0.9711,0.8918,0.9085,709522.55,5015576.17,906.56,266,0,0,0.781993,6.613641,0.8918,0.184,0.7078,0.7078,0
39,0.85,0.0112,18,0.8922,0.8801,0.8864,571006.94,5080650.0,5714.85,31,0,0,0.009901,7.718348,0.8801,0.1725,0.7076,0.7076,0
234,0.85,0.0381,61,0.8933,0.8759,0.8862,645734.63,5062809.63,2854.02,144,0,0,0.033394,7.107588,0.8759,0.1685,0.7074,0.7074,0
302,0.85,0.0175,28,0.9397,0.8927,0.9304,635532.14,5055050.0,9525.81,467,0,0,0.015622,8.609133,0.8927,0.1861,0.7066,0.7066,0
20,0.85,0.0131,21,0.9129,0.8842,0.8981,671427.98,5082698.21,7970.34,545,0,0,0.011606,8.201539,0.8842,0.1779,0.7064,0.7064,0
76,0.85,0.01,16,0.897,0.8803,0.8839,575809.38,5078534.38,5781.61,593,0,0,0.008803,7.770246,0.8803,0.174,0.7063,0.7063,0
251,0.85,0.01,16,0.938,0.9095,0.9337,604281.25,5061784.38,16833.23,560,0,0,0.009095,9.12791,0.9095,0.2032,0.7063,0.7063,0
1140,0.85,0.1225,196,0.9214,0.8941,0.908,680395.79,5019068.49,77.25,16,1,2,0.109532,4.017375,0.8941,0.1881,0.706,0.706,0
1232,0.85,0.035,56,0.9375,0.9031,0.9278,674938.39,5015869.64,2058.28,151,0,0,0.03161,7.152857,0.9031,0.1976,0.7055,0.7055,0
865,0.85,0.0119,19,0.9253,0.8979,0.9138,665076.97,5027365.13,2081.67,200,0,0,0.010663,7.070612,0.8979,0.1925,0.7054,0.7054,0
64,0.85,0.0156,25,0.8906,0.8791,0.8854,567270.5,5079070.5,1734.28,31,0,0,0.013736,6.642783,0.8791,0.1738,0.7053,0.7053,0
801,0.85,0.0119,19,0.9049,0.8873,0.8956,688890.13,5030448.03,3369.97,156,0,0,0.010536,7.350517,0.8873,0.182,0.7053,0.7053,0
256,0.85,0.0231,37,0.9224,0.8958,0.9087,626617.23,5061422.64,4459.42,467,0,0,0.020715,7.751177,0.8958,0.1906,0.7052,0.7052,0
260,0.85,0.0288,46,0.9241,0.8982,0.9079,625567.39,5061209.24,5509.53,467,0,0,0.025825,7.960695,0.8982,0.1933,0.705,0.705,0
198,0.85,0.0294,47,0.8867,0.8714,0.8772,637861.97,5065236.97,5071.97,656,0,0,0.025596,7.565121,0.8714,0.1667,0.7046,0.7046,0
1051,0.85,0.0256,41,0.8989,0.8763,0.8908,638239.94,5022789.94,4444.42,114,0,0,0.022456,7.550379,0.8763,0.1719,0.7044,0.7044,0
460,0.85,0.0187,30,0.9244,0.9006,0.9134,634857.5,5047667.5,9042.82,245,0,0,0.016886,8.421331,0.9006,0.1962,0.7043,0.7043,0
313,0.85,0.0406,65,0.9273,0.9164,0.9263,580903.27,5053844.42,7477.78,59,0,0,0.037228,8.2711,0.9164,0.2128,0.7036,0.7036,0
1144,0.85,0.0181,29,0.916,0.8886,0.898,654614.22,5018747.84,206.34,388,0,0,0.016105,4.886172,0.8886,0.185,0.7036,0.7036,0
236,0.85,0.0631,101,0.8933,0.8723,0.8815,646311.51,5062558.29,3302.02,657,0,0,0.055065,7.23779,0.8723,0.1688,0.7035,0.7035,0
1280,0.85,0.635,1016,0.9694,0.8892,0.9045,715198.25,5012680.63,2539.68,520,0,0,0.564644,7.600431,0.8892,0.1858,0.7034,0.7034,0
11,0.85,0.0938,150,0.9546,0.8898,0.9069,583537.67,5088263.0,11496.54,45,0,0,0.083416,8.925599,0.8898,0.1865,0.7033,0.7033,0
794,0.85,0.0187,30,0.9198,0.8825,0.8993,688620.0,5030907.5,3825.11,156,0,0,0.016547,7.587661,0.8825,0.1794,0.7031,0.7031,0
842,0.85,0.0138,22,0.9056,0.8861,0.8924,692301.14,5028585.23,2481.89,132,0,0,0.012184,7.079573,0.8861,0.1831,0.703,0.703,0
300,0.85,0.0238,38,0.9152,0.8931,0.9063,638334.21,5055385.53,8188.69,657,0,0,0.021211,8.246734,0.8931,0.1903,0.7028,0.7028,0
1319,0.85,0.1212,194,0.9573,0.896,0.9156,718449.87,5013094.97,2258.52,520,0,0,0.108637,7.392884,0.896,0.1934,0.7026,0.7026,0
1339,0.85,0.3256,521,0.9553,0.8915,0.912,716051.8,5012215.14,2545.02,520,0,0,0.290288,7.491561,0.8915,0.189,0.7025,0.7025,0
31,0.85,0.0844,135,0.9166,0.8891,0.898,673953.43,5080968.61,5894.84,545,0,0,0.075021,7.957725,0.8891,0.187,0.7022,0.7022,0
41,0.85,0.0119,19,0.8918,0.8801,0.8868,570751.97,5080457.24,5398.61,31,0,0,0.010452,7.664314,0.8801,0.1779,0.7022,0.7022,0
1155,0.85,0.0131,21,0.8941,0.8793,0.8916,636737.5,5018454.17,5014.6,133,0,0,0.01154,7.618095,0.8793,0.1772,0.7021,0.7021,0
396,0.85,0.0213,34,0.8872,0.8727,0.881,662589.71,5051211.03,2186.92,271,0,0,0.018544,6.822999,0.8727,0.1713,0.7014,0.7014,0
63,0.85,0.0312,50,0.9009,0.8771,0.8837,573816.0,5079069.0,7208.31,32,0,0,0.027409,8.003042,0.8771,0.1758,0.7013,0.7013,0
38,0.85,0.0563,90,0.9214,0.8866,0.8963,674749.17,5080617.22,5627.77,545,0,0,0.049873,7.957191,0.8866,0.1856,0.7011,0.7011,0
60,0.85,0.0581,93,0.9194,0.8864,0.8981,675139.38,5079039.11,4195.16,545,0,0,0.051521,7.669384,0.8864,0.1853,0.7011,0.7011,0
