source,cluster_id,threshold,centroid_x,centroid_y,area_km2,prob_max,prob_mean,dist_to_known_m,n_known_inside,val_vtt_r100,val_rel_vis,val_dist_rijeka,val_strahler,val_aps_vis,attr_type,pc1,pc2,shap_vtt_r100,shap_rel_vis_100_250,shap_dist_rijeka_korig,shap_strahler,shap_aps_vis
thr85_all,533,0.85,558376.88,5045052.57,0.0456,0.9273,0.8968,20831.18,0,Cambisols,12.342,304.8,1,244.2,0,0.3045569244449644,-0.5443754730133505,0.07272,0.23124,0.10852,0.01287,0.00319
thr85_all,534,0.85,561699.42,5045075.96,0.0406,0.9273,0.9025,18329.36,0,Cambisols,11.583,301.9,1,244.7,0,0.2660176748474935,-0.5843052475207628,0.07261,0.22915,0.1111,0.01284,0.00285
thr85_all,535,0.85,580013.46,5045161.54,0.0163,0.915,0.8858,8748.64,0,Cambisols,12.785,324.3,1,545.0,0,0.5299968974805619,-1.0648240455915445,0.06942,0.2331,0.10846,0.01198,-0.0151
thr85_all,536,0.85,580441.5,5045151.5,0.0156,0.8664,0.8625,8560.7,0,Cambisols,16.119,637.9,1,611.1,2,1.4690913530848193,-0.6872269184748602,0.06254,0.25531,0.05948,0.00887,-0.02352
thr85_all,537,0.85,590602.5,5045151.25,0.0125,0.8614,0.8572,8889.09,0,Cambisols,18.272,652.0,1,429.0,2,1.5028437489859763,-0.8204233006430471,0.06153,0.2579,0.06127,0.00925,-0.02726
thr85_all,538,0.85,558766.96,5045035.71,0.0175,0.8786,0.866,20537.76,0,Cambisols,12.001,685.0,1,252.5,2,1.3108274871348349,-0.2449884241968053,0.06547,0.25605,0.0569,0.01041,-0.00893
thr85_all,539,0.85,570350.0,5045007.29,0.015,0.8614,0.8592,13704.55,0,Cambisols,14.15,654.6,1,436.3,2,1.5096818022347127,-0.8166666677454235,0.06148,0.25826,0.06095,0.00925,-0.02726
thr85_all,540,0.85,569862.5,5045005.36,0.0219,0.915,0.8902,13868.48,0,Cambisols,14.934,323.3,1,429.7,0,0.5062622971619728,-1.1388997626562913,0.06926,0.23402,0.11212,0.01195,-0.01604
thr85_all,541,0.85,578317.19,5044976.56,0.01,0.8664,0.8645,9462.19,0,Cambisols,14.683,660.7,1,534.3,2,1.4267169785499711,-0.7440693173664249,0.06306,0.25683,0.06214,0.00977,-0.02411
thr85_all,542,0.85,569556.77,5044946.35,0.03,0.915,0.8971,14032.75,0,Cambisols,17.601,295.2,1,430.0,0,0.4268053244530827,-1.158487737521236,0.06872,0.23209,0.11789,0.01178,-0.01432
thr85_all,543,0.85,591006.1,5044960.76,0.0269,0.8664,0.8607,9140.95,0,Cambisols,22.581,636.0,1,445.7,2,1.540391214012097,-0.7464569000937067,0.06106,0.25607,0.05836,0.00839,-0.02619
thr85_all,544,0.85,569033.63,5044691.37,0.0525,0.8664,0.8624,14466.81,0,Cambisols,14.472,629.0,1,477.1,2,1.4266415841302313,-0.6274932891503048,0.06272,0.25272,0.05969,0.00899,-0.02143
thr85_all,545,0.85,580272.35,5044298.19,0.1856,0.915,0.9006,7860.42,0,Cambisols,18.592,266.8,1,553.6,0,0.45666446367164965,-1.290327807402123,0.07069,0.23101,0.1168,0.01114,-0.01936
thr85_all,546,0.85,579682.26,5044488.18,0.0925,0.915,0.9054,8309.36,0,Cambisols,23.832,210.3,1,502.8,0,0.38455153664499064,-1.506621859812743,0.07233,0.22458,0.12283,0.01008,-0.02448
thr85_all,547,0.85,580569.32,5044647.73,0.0138,0.8664,0.8615,8048.04,0,Cambisols,12.524,625.4,1,634.8,2,1.468393362169508,-0.6897467371730615,0.06241,0.25524,0.05971,0.00885,-0.02352
thr85_all,548,0.85,608507.81,5044079.69,0.01,0.8754,0.8674,9598.12,0,Cambisols,12.248,588.9,1,256.8,2,1.4075522004967982,-0.12174427894635616,0.06232,0.25276,0.05058,0.00986,-0.00783
thr85_all,549,0.85,605652.27,5044018.18,0.0138,0.8624,0.8553,10578.58,0,Cambisols,14.053,473.3,1,282.6,2,1.586448670627346,-0.3440018433439577,0.05351,0.2526,0.05502,0.00771,-0.01443
thr85_all,550,0.85,579626.99,5043950.54,0.0431,0.915,0.8984,7878.06,0,Cambisols,22.182,289.7,1,510.8,0,0.4537465434991047,-1.0969605270429377,0.06807,0.23095,0.11536,0.01158,-0.01341
thr85_all,551,0.85,579373.33,5043753.33,0.0187,0.8664,0.8613,7853.74,0,Cambisols,17.007,607.0,1,490.8,2,1.4486393775719928,-0.6669729769575515,0.06068,0.25262,0.0604,0.00934,-0.02257
thr85_all,552,0.85,580062.69,5043600.09,0.0844,0.915,0.9046,7351.06,0,Cambisols,25.196,235.0,1,482.8,0,0.36504746212965344,-1.4155388475747142,0.06959,0.22767,0.12574,0.0107,-0.02003
thr85_all,553,0.85,580630.61,5043539.8,0.0612,0.915,0.8997,7022.09,0,Cambisols,14.431,263.9,1,477.9,0,0.3972560217787071,-1.2256210400579066,0.07103,0.22825,0.11683,0.01187,-0.01709
