cluster_id,threshold,area_km2,n_pixels,prob_max,prob_mean,prob_p75,centroid_x,centroid_y,dist_to_known_m,nearest_known_fid,contains_known,n_known_inside,score_size,score_discovery,mean_prob_poly,mean_unc,mean_confident_prob,confidence_score,is_high_confidence
1304,0.85,0.0356,57,0.9914,0.9596,0.9906,723182.68,5013612.94,67.99,160,1,1,0.034186,4.197507,0.9596,0.1367,0.823,0.823,0
1290,0.85,0.5463,874,0.9914,0.9592,0.9835,721251.66,5013904.03,1952.16,160,0,0,0.523967,7.511906,0.9592,0.1411,0.8181,0.8181,0
1272,0.85,0.3438,550,0.9914,0.9538,0.9847,717409.91,5014439.45,636.58,520,1,1,0.327869,6.402028,0.9538,0.138,0.8158,0.8158,0
1111,0.85,1.0231,1637,0.9914,0.9409,0.9755,706713.29,5018846.16,135.87,103,1,9,0.962623,4.876604,0.9409,0.1553,0.7856,0.7856,0
1244,0.85,0.3125,500,0.9914,0.9501,0.9708,715287.9,5015059.85,1575.16,520,0,0,0.296893,7.299296,0.9501,0.1665,0.7835,0.7835,0
1139,0.85,0.0244,39,0.9514,0.9244,0.9479,655636.22,5019109.94,1279.18,388,0,0,0.022532,6.807208,0.9244,0.1597,0.7647,0.7647,0
1034,0.85,0.0187,30,0.954,0.9219,0.946,654816.67,5023071.67,71.25,118,1,1,0.017285,4.083313,0.9219,0.1612,0.7607,0.7607,0
1121,0.85,0.045,72,0.9566,0.9182,0.9442,655100.35,5020092.71,1508.35,388,0,0,0.04132,7.001448,0.9182,0.1661,0.7521,0.7521,0
809,0.85,0.035,56,0.9558,0.9197,0.9347,657504.91,5029600.0,328.08,139,0,0,0.032189,5.540287,0.9197,0.169,0.7507,0.7507,0
575,0.85,0.0288,46,0.9417,0.916,0.9374,633618.48,5042685.33,4080.3,532,0,0,0.026336,7.82963,0.916,0.1658,0.7502,0.7502,0
1310,0.85,0.0438,70,0.9717,0.9321,0.9528,729662.86,5013529.64,2083.4,165,0,0,0.040778,7.426194,0.9321,0.1827,0.7494,0.7494,0
844,0.85,0.0231,37,0.9471,0.9146,0.933,664821.28,5028529.39,2702.39,200,0,0,0.021151,7.484067,0.9146,0.1675,0.7471,0.7471,0
