attr_type,n_clusters,shap_vtt_r100,shap_rel_vis_100_250,shap_dist_rijeka_korig,shap_strahler,shap_aps_vis
0,384,0.07127765625,0.22027481770833332,0.11740075520833333,0.009867968750000001,-0.010377135416666666
1,412,0.1304981067961165,0.062165121359223335,0.12575050970873786,0.023894223300970872,0.03422458737864077
2,362,0.054336408839779,0.25936569060773484,0.059042872928176796,0.010317955801104972,-0.01551983425414364
3,30,0.043758000000000005,0.28295766666666666,0.06110700000000001,-0.052266666666666656,0.06407833333333332
4,292,0.04935770547945205,0.22483571917808218,0.052953527397260274,0.014904006849315069,0.04639407534246576
