fid,gustoca_km_km2
2,0.189857
3,0.152841
6,0.824297
7,0.668905
8,0.43403
12,0.40461
14,0.0
15,0.36743
16,0.395388
17,0.372141
19,0.120426
20,0.324859
21,0.541316
22,0.0
23,0.282481
27,0.509543
29,0.386465
31,0.040812
32,0.385623
33,0.561365
34,0.772555
35,0.208378
36,0.543782
37,0.500324
38,0.373054
39,0.381939
43,0.474045
44,0.769086
45,0.565892
49,0.0
50,0.362676
51,0.665244
52,0.396989
53,0.409039
54,0.445156
55,0.403142
56,0.461449
57,0.815101
58,0.321311
59,0.0
60,0.628831
62,0.46792
92,0.107999
105,0.269014
106,0.036498
132,0.617392
140,0.387665
211,1.025928
227,0.053888
247,0.904584
279,0.244126
312,0.635577
313,0.332455
314,0.470165
315,0.375175
472,0.624606
473,0.172847
475,0.356816
476,0.465811
477,0.832739
478,0.698519
479,0.689441
492,0.464137
515,0.390542
524,0.378984
527,0.377813
530,0.403789
531,0.350439
532,0.259296
533,0.723671
534,0.432932
536,0.357222
537,1.190292
538,0.863009
539,0.200894
547,0.0
548,0.0
549,0.516992
550,0.265739
551,0.121997
553,0.989396
656,0.078256
657,0.245483
