faza,n,x_mean,y_mean,x_sd,y_sd,hull_km2,mean_nn_km
rano,83,640866.4846341234,5028699.504680616,39914.881163190825,22574.524271490107,10432.381084317025,4.900075209807749
kasno,137,663224.8323540132,5026293.36657705,33596.146832875886,15473.037790119255,8891.752527621582,3.142769225051068
kontinuirano,54,666955.9213422589,5042985.733227724,30059.58320943115,25382.273710300953,7255.274817748675,4.5263305795531625
