set,name,n_estimators,max_depth,min_samples_leaf,acc_mean,acc_std,auc_mean,auc_std,f1_mean,f1_std,train_acc,train_auc
ROBUSTNE_4,default,300,,1,0.6185487906588824,0.03817239821987863,0.6865809611264158,0.040947019270265235,0.6236976206582554,0.031049706247494126,1.0,1.0
ROBUSTNE_4,deep,500,,1,0.6167806505421185,0.03365109187975199,0.6872910927456383,0.03925100481107532,0.6199967882694158,0.023777988639469998,1.0,1.0
ROBUSTNE_4,regularizirano,300,10.0,5,0.6349624687239366,0.02968083701901072,0.7029850015304561,0.036137407441075506,0.6268160206081874,0.0268508710187907,0.8220821501752635,0.905405793722551
SIRI_7,default,300,,1,0.6477731442869057,0.030121677430505527,0.7077196204468933,0.023030041362323186,0.634815609141706,0.03221793445427685,1.0,1.0
SIRI_7,deep,500,,1,0.6404837364470393,0.032160271872182254,0.7036614631160086,0.021562577905899074,0.6299666002636299,0.034924422143800433,1.0,1.0
SIRI_7,regularizirano,300,10.0,5,0.6314261884904087,0.023530327201758783,0.7058475665748393,0.03511943810600496,0.6209816589643321,0.026068240495196186,0.8772833650575717,0.9463883913255277
