feature,perm_mean,perm_std
dist_rijeka_korig,0.15810778411209986,0.01362614930993747
vtt_r100,0.15426589944411898,0.01231773377188522
rel_vis_100_250,0.1435731791784326,0.010971579554875295
aps_vis,0.11169792388157791,0.006281437543016398
strahler,0.05777789617631927,0.00549727226061181
