feature,gini_importance,perm_mean,perm_std
dist_rijeka_korig,0.34918157248122134,0.1732594304438169,0.014370780902005964
rel_vis_100_250,0.34741073099259623,0.1552563402418882,0.009596604945162028
vtt_r100,0.19757517339261577,0.14867334434439758,0.01199523558900065
strahler,0.1058325231335666,0.06496416964142997,0.004987535806006188
