set,n_features,best_test_auc,std_test_auc,best_train_auc,overfit_gap,max_depth,max_features,min_samples_leaf,n_estimators
ROBUSTNE_4,4,0.7045497398224672,0.03273534081480799,0.8945322430535416,0.18998250323107446,8,sqrt,5,200
OPTIMALNI_5,5,0.7246954392408939,0.0430374248860932,0.9851869416628283,0.2604915024219344,8,sqrt,1,200
SIRI_7,7,0.7171509029690848,0.0340546325824804,0.9862171916197061,0.2690662886506213,8,sqrt,1,200
