fid,rel_100_1000m
1,14.399
2,-8.911
3,5.205
4,0.614
5,-0.572
6,0.588
7,8.194
8,0.282
9,-11.44
11,2.32
12,0.273
14,-1.109
15,1.385
16,1.725
17,0.445
18,-0.638
19,0.455
20,2.563
21,1.898
22,-1.763
23,-0.718
25,0.665
26,2.696
27,7.959
28,6.703
29,-2.074
30,1.776
31,-1.955
32,-8.567
33,-17.768
34,-1.12
35,-17.989
36,-16.259
37,9.735
38,22.035
39,-0.518
40,1.695
41,-0.797
42,0.441
43,-0.619
44,-3.594
45,1.474
48,-3.062
49,30.297
50,16.227
51,0.448
52,1.585
53,-24.327
54,-0.538
55,-20.219
56,3.301
57,-1.261
58,0.42
59,-3.024
60,1.221
62,0.96
69,3.157
71,0.864
80,0.562
90,0.651
92,0.868
103,12.783
105,0.538
106,-3.606
110,6.929
113,1.786
116,-2.101
126,2.275
132,8.324
140,-4.213
180,0.87
211,-0.503
227,-40.039
247,1.842
279,10.462
283,3.276
312,1.47
313,0.005
314,1.243
315,-0.088
472,-0.381
473,-0.031
474,0.444
475,5.095
476,0.221
477,7.344
478,13.711
479,17.992
481,10.81
490,9.294
492,9.191
496,16.129
513,11.315
514,3.961
515,1.195
516,-0.727
517,-1.345
520,13.513
521,8.714
522,8.914
523,-1.269
524,0.835
525,9.825
526,11.845
527,3.035
528,6.691
529,9.533
530,-20.628
531,-1.166
532,-4.008
533,13.257
534,-1.711
535,-12.391
536,0.437
537,-3.212
538,4.394
539,-42.753
540,0.35
541,0.94
542,1.724
543,-1.129
544,-4.791
545,-10.93
546,-5.431
547,20.66
548,1.301
549,-0.765
550,-6.932
551,3.634
552,-1.008
553,8.861
556,5.02
557,0.057
562,0.852
592,-0.658
656,1.305
657,-0.305
