fid,rel_100_500m
1,11.222
2,-2.888
3,5.307
4,-0.211
5,-0.518
6,1.159
7,6.727
8,1.66
9,-2.252
11,2.01
12,0.449
14,-0.395
15,1.448
16,1.738
17,0.541
18,-0.246
19,-0.091
20,2.831
21,0.488
22,0.788
23,-0.143
25,1.332
26,0.955
27,7.887
28,5.194
29,-2.489
30,2.582
31,-0.71
32,-4.839
33,-10.262
34,0.29
35,-8.737
36,-3.822
37,2.868
38,25.856
39,-0.211
40,1.501
41,-0.102
42,0.346
43,0.077
44,3.056
45,0.133
48,-1.133
49,23.493
50,11.956
51,2.081
52,1.037
53,-6.032
54,2.261
55,-7.336
56,2.507
57,-1.042
58,0.231
59,3.812
60,2.183
62,1.06
63,-0.371
64,0.99
65,-0.615
66,-3.783
67,0.272
68,28.962
69,3.153
70,8.969
71,1.419
72,4.41
73,4.451
78,0.52
80,1.799
85,-0.593
90,1.427
91,2.923
92,1.287
93,-0.745
95,-0.781
103,13.29
105,-0.485
106,-1.238
110,7.754
113,1.49
114,0.834
115,3.56
116,-0.573
117,5.692
118,7.668
119,6.712
123,-2.694
124,-0.393
126,1.956
132,10.428
133,-4.392
134,-0.461
135,0.055
136,1.27
137,0.262
138,-0.226
139,-1.776
140,-5.955
141,-0.558
142,-0.344
143,0.113
144,-2.631
145,-1.155
146,-0.946
147,-0.16
148,-0.414
149,-0.06
150,-1.562
151,-1.48
152,2.449
153,-0.665
154,-0.186
155,-0.456
156,-2.952
157,-2.915
158,-0.238
159,-0.669
160,11.889
161,17.66
162,-0.417
164,0.38
165,0.905
166,-0.118
175,0.476
180,0.992
190,0.95
193,1.172
200,0.417
211,-0.47
217,3.365
227,-24.905
243,-1.712
245,-0.009
247,-0.114
249,0.402
266,6.226
270,0.416
271,0.02
272,-1.397
273,0.294
277,0.053
278,2.627
279,3.583
283,3.335
312,0.833
313,0.075
314,0.906
315,0.031
316,0.685
323,8.829
325,-17.838
377,3.521
378,-1.027
379,3.198
380,3.492
388,3.588
393,-0.891
394,-0.654
395,0.214
459,0.34
461,1.313
463,-2.675
467,1.059
472,0.166
473,0.147
474,0.202
475,6.751
476,0.163
477,1.237
478,7.882
479,15.097
481,6.809
482,6.62
484,9.571
486,9.628
490,10.137
492,10.235
493,12.391
494,14.253
495,12.494
496,13.445
497,10.216
500,8.448
513,9.785
514,5.312
515,0.912
516,0.427
517,-0.699
520,13.87
521,6.261
522,6.593
523,-1.133
524,0.56
525,9.693
526,5.686
527,8.472
528,4.669
529,7.048
530,-8.011
531,-1.752
532,-1.341
533,9.793
534,-0.002
535,-7.896
536,0.699
537,-0.369
538,4.602
539,-25.911
540,5.191
541,2.471
542,2.221
543,3.194
544,0.64
545,-1.062
546,-1.109
547,21.581
548,0.762
549,-2.122
550,-1.554
551,2.354
552,1.239
553,6.923
554,-0.122
555,0.083
556,0.969
557,-3.066
558,0.321
559,-0.262
560,-3.088
561,-3.362
562,0.976
563,-6.78
566,-0.161
567,0.702
568,0.122
569,-2.022
570,-1.484
571,-0.37
572,-0.369
573,0.484
574,0.086
575,-0.899
576,-0.613
577,-3.223
578,2.003
579,-1.476
580,1.375
581,-0.448
582,1.828
583,-1.84
584,-4.212
585,-2.667
586,28.32
587,-1.373
588,1.408
589,-4.544
590,2.555
591,9.588
592,-0.726
593,0.396
594,-1.91
595,-1.077
596,7.932
608,0.48
633,0.75
636,-4.982
649,0.929
650,-0.738
652,13.028
654,3.501
655,3.172
656,1.518
657,-0.119
659,0.549
