fid,rel_100_500m
1,11.222
4,-0.211
5,-0.518
9,-2.252
11,2.01
18,-0.246
25,1.332
26,0.955
28,5.194
30,2.582
40,1.501
41,-0.102
42,0.346
48,-1.133
69,3.153
71,1.419
80,1.799
90,1.427
103,13.29
110,7.754
113,1.49
116,-0.573
126,1.956
180,0.992
283,3.335
474,0.202
481,6.809
490,10.137
496,13.445
513,9.785
514,5.312
516,0.427
517,-0.699
520,13.87
521,6.261
522,6.593
523,-1.133
525,9.693
526,5.686
528,4.669
529,7.048
535,-7.896
540,5.191
541,2.471
542,2.221
543,3.194
544,0.64
545,-1.062
546,-1.109
552,1.239
556,0.969
557,-3.066
562,0.976
592,-0.726
