fid,rel_100_1000m
1,-0.618
2,-0.186
3,0.236
4,11.476
5,1.211
6,5.132
7,-2.101
8,-1.568
9,0.926
10,21.161
11,4.423
12,11.592
13,-2.794
14,3.738
15,8.667
16,1.374
17,-1.514
18,-0.1
19,9.036
20,-2.211
21,-1.616
22,-0.144
23,13.732
24,-0.612
25,-1.483
26,7.234
27,-2.472
28,-4.964
29,0.317
30,0.941
31,6.975
32,1.751
33,-1.508
34,-2.081
35,-1.243
36,0.713
37,17.667
38,0.763
39,-1.264
40,-1.821
41,-0.598
42,-8.87
43,-16.835
44,0.36
45,-3.79
46,-0.322
47,0.009
48,-1.603
49,-0.947
50,2.868
51,0.66
52,1.603
53,25.426
54,-0.807
55,-2.935
56,1.736
57,-0.248
58,-0.502
59,-1.498
60,0.272
61,0.105
62,1.3
63,0.871
64,-7.643
65,11.397
66,-3.225
67,-15.122
68,1.642
69,-0.321
70,-1.398
71,-1.645
72,1.483
73,0.181
74,0.171
75,-0.266
76,-20.193
77,2.542
78,2.185
79,-4.905
80,0.868
81,-11.123
82,-0.452
83,-1.24
84,0.219
85,1.917
86,1.208
87,-8.748
88,0.165
89,-6.667
90,0.675
91,0.497
92,-0.435
93,2.544
94,12.743
95,-0.216
96,-2.963
97,-0.126
98,-2.149
99,-4.424
100,-0.659
101,15.368
102,-0.572
103,-31.611
104,-3.896
105,5.008
106,1.214
107,0.783
108,-0.601
109,-1.447
110,4.78
111,7.524
112,-18.682
113,28.671
114,1.634
115,9.414
116,3.156
117,0.405
118,-0.939
119,0.659
120,-0.906
121,0.262
122,-2.33
123,4.492
124,5.086
125,1.248
126,0.039
127,4.902
128,-15.628
129,-0.225
130,2.299
131,1.237
132,-0.794
133,-40.475
134,-6.787
135,-22.844
136,0.071
137,-6.969
138,-37.979
139,-5.103
140,0.356
141,32.11
142,1.892
143,6.206
144,11.394
145,1.227
146,0.502
147,-0.274
148,-1.725
149,-3.814
150,-0.661
151,0.561
152,1.592
153,0.43
154,12.236
155,0.552
156,-0.476
157,0.489
158,1.512
159,0.399
160,-1.837
161,-1.027
162,0.114
163,5.625
164,0.738
165,2.775
166,-1.183
167,-4.415
168,-0.005
169,0.069
170,-9.455
171,37.792
172,10.684
173,0.172
174,-0.226
175,1.304
176,0.016
177,6.579
178,-1.204
179,-0.264
180,-0.066
181,-1.334
182,3.071
183,7.848
184,-0.872
185,7.954
186,-2.691
187,-0.986
188,1.724
189,2.247
190,-0.308
191,-4.45
192,-0.362
193,-1.161
194,-0.549
195,-21.738
196,1.873
197,-4.353
198,-0.619
199,-0.626
200,-1.174
201,-0.478
202,-0.634
203,11.142
204,1.522
205,-5.042
206,-4.783
207,-0.53
208,1.506
209,-0.667
210,-1.615
211,1.135
212,-7.533
213,-10.717
214,-2.701
215,-1.73
216,3.023
217,5.675
218,-0.167
219,-0.07
220,1.538
221,0.305
222,8.199
223,0.906
224,5.527
225,1.384
226,-1.21
227,0.375
228,-5.178
229,-5.305
230,10.485
231,-0.839
232,-4.062
233,3.797
234,-2.175
235,0.34
236,1.406
237,-1.139
238,-1.394
239,-1.759
240,-3.612
241,2.803
242,8.983
243,0.71
244,0.052
245,-8.318
246,-0.99
247,2.915
248,-1.321
249,11.411
250,-0.196
251,-5.258
252,-5.619
253,-1.131
254,0.59
255,-0.748
256,-3.302
257,-0.997
258,0.482
259,-2.379
260,4.558
261,-0.178
262,2.63
263,-0.606
264,-2.594
265,-2.785
266,27.938
267,3.725
268,11.733
269,-15.761
270,0.297
271,-10.183
272,-0.094
273,-0.258
274,-0.728
