fid,rel_200_1000m
63,0.859
64,-0.199
65,-0.694
66,-4.649
67,0.618
68,36.605
70,17.284
72,2.481
73,-1.639
78,0.245
85,-6.778
91,-0.26
93,0.658
95,-0.012
114,4.484
115,3.771
117,6.308
118,0.372
119,1.717
123,-3.036
124,-1.498
133,-18.294
134,-0.313
135,-0.378
136,2.445
137,-0.487
138,-0.053
139,-2.008
141,-0.846
142,-1.13
143,1.462
144,-4.198
145,-1.594
146,-1.354
147,-1.436
148,-0.406
149,-0.25
150,-5.4
151,-5.437
152,-1.023
153,-1.97
154,-1.537
155,-1.294
156,-2.998
157,-3.149
158,-1.458
159,-1.018
160,-1.867
161,11.414
162,-1.514
164,0.125
165,-6.54
166,-0.352
175,0.858
190,0.621
193,0.181
200,-0.471
217,2.413
243,-3.139
245,-0.534
249,0.636
266,-2.557
270,0.533
271,-0.022
272,-1.45
273,-0.334
277,-0.064
278,10.549
316,-0.144
323,17.475
325,-30.011
377,4.026
378,-11.219
379,-4.519
380,4.296
388,7.715
393,-0.89
394,-2.608
395,-3.956
459,0.393
461,0.722
463,-2.378
467,1.029
482,7.7
484,6.807
486,9.15
493,6.594
494,6.379
495,11.917
497,8.26
500,9.075
554,-0.561
555,-0.096
558,-0.761
559,0.096
560,-10.846
561,-6.301
563,-17.259
566,-2.474
567,-1.048
568,-1.299
569,-2.867
570,-1.374
571,-1.265
572,0.18
573,-0.127
574,-0.144
575,-2.038
576,0.377
577,-2.797
578,4.085
579,-2.221
580,0.878
581,-5.26
582,-0.578
583,-2.702
584,-16.892
585,-11.552
586,30.202
587,-3.058
588,0.985
589,1.255
590,0.533
591,5.351
593,0.279
594,-7.964
595,-0.756
596,3.637
608,-3.161
633,1.473
636,-11.641
649,0.6
650,-0.893
652,13.553
654,1.213
655,1.172
659,-0.351
