fid,rel_500_1000m
1,4.649
4,1.081
5,-0.093
9,-12.213
11,0.492
18,-0.527
25,-0.827
26,2.338
28,2.207
30,-0.968
40,0.314
41,-0.921
42,0.139
48,-2.588
63,0.745
64,-0.762
65,-0.269
66,-1.677
67,0.35
68,21.258
69,0.134
70,13.835
71,-0.676
72,0.645
73,-1.777
78,0.09
80,-1.56
85,-4.219
90,-0.966
91,-0.804
93,0.597
95,0.317
103,-0.163
110,-0.77
113,0.451
114,5.282
115,1.238
116,-2.041
117,1.667
118,-5.114
119,-2.704
123,-0.573
124,-0.597
126,0.501
133,-17.783
134,0.079
135,-0.085
136,2.098
137,-0.662
138,0.081
139,-0.748
141,-0.531
142,-0.735
143,1.839
144,-2.516
145,-0.668
146,-0.997
147,-1.127
148,-0.205
149,-0.229
150,-4.454
151,-4.799
152,-2.003
153,-1.703
154,-1.406
155,-1.363
156,-1.478
157,-1.48
158,-0.61
159,-0.394
160,-7.404
161,-3.329
162,-1.075
164,-0.149
165,-6.914
166,-0.598
175,0.45
180,-0.121
190,0.646
193,-0.296
200,-0.621
217,-0.085
243,-2.397
245,-0.655
249,0.194
266,-4.742
270,0.16
271,0.17
272,-0.283
273,-0.695
277,-0.128
278,10.157
283,0.058
316,-0.893
323,14.433
325,-21.126
377,0.665
378,-10.24
379,-4.344
380,1.854
388,5.325
393,-0.371
394,-2.722
395,-5.035
459,0.275
461,-0.27
463,-0.124
467,0.39
474,0.328
481,5.554
482,4.436
484,1.668
486,5.303
490,-0.744
493,-1.257
494,-1.936
495,3.716
496,4.123
497,2.712
500,7.598
513,2.425
514,-1.618
516,-1.505
517,-0.88
520,0.079
521,3.496
522,3.327
523,-0.226
525,0.552
526,8.361
528,2.85
529,3.556
535,-6.244
540,-6.171
541,-1.918
542,-0.567
543,-5.578
544,-7.147
545,-13.058
546,-5.751
552,-2.917
554,-0.457
555,-0.136
556,5.382
557,4.005
558,-0.479
559,0.077
560,-8.569
561,-4.048
562,-0.126
563,-13.44
566,-1.778
567,-1.453
568,-0.566
569,-1.722
570,-0.216
571,-0.699
572,0.208
573,-0.367
574,-0.145
575,-1.363
576,0.653
577,-0.064
578,2.827
579,-1.441
580,-0.27
581,-4.635
582,-1.252
583,-0.887
584,-16.622
585,-12.12
586,13.993
587,-2.382
588,0.241
589,4.225
590,-1.997
591,2.478
592,0.062
593,-0.087
594,-8.192
595,-1.137
596,-1.202
608,-4.02
633,0.756
636,-9.722
649,0.114
650,-0.257
652,6.37
654,-0.34
655,0.806
659,-0.486
