fid,rel_500_1000m
1,4.649
4,1.081
5,-0.093
9,-12.213
11,0.492
18,-0.527
25,-0.827
26,2.338
28,2.207
30,-0.968
40,0.314
41,-0.921
42,0.139
48,-2.588
69,0.134
71,-0.676
80,-1.56
90,-0.966
103,-0.163
110,-0.77
113,0.451
116,-2.041
126,0.501
180,-0.121
283,0.058
474,0.328
481,5.554
490,-0.744
496,4.123
513,2.425
514,-1.618
516,-1.505
517,-0.88
520,0.079
521,3.496
522,3.327
523,-0.226
525,0.552
526,8.361
528,2.85
529,3.556
535,-6.244
540,-6.171
541,-1.918
542,-0.567
543,-5.578
544,-7.147
545,-13.058
546,-5.751
552,-2.917
556,5.382
557,4.005
562,-0.126
592,0.062
