fid,rel_200_1000m
1,-23.384
2,-1.299
3,1.106
4,1.824
5,31.301
6,4.221
7,2.442
8,-0.068
9,-12.273
10,-1.28
11,10.472
12,1.316
13,-2.227
14,3.325
15,-0.061
16,0.095
17,0.321
18,-0.767
19,-1.495
20,-2.228
21,7.001
22,10.843
23,-1.472
24,0.077
25,-26.458
26,-1.171
27,0.896
28,-2.011
29,-0.258
30,-0.888
31,16.68
32,-0.681
33,5.705
34,1.529
35,-1.087
36,-1.314
37,-2.188
38,0.334
39,-0.855
40,24.305
41,1.246
42,-0.644
43,-18.989
44,-12.113
45,-3.58
46,0.497
47,0.563
48,14.075
49,2.561
50,3.133
51,-6.633
52,-0.052
53,1.999
54,-4.238
55,-0.517
56,-22.185
57,-0.533
58,-0.507
59,-23.742
60,19.826
61,-1.015
62,-1.848
63,38.702
64,-3.259
65,-23.596
66,0.769
67,4.212
68,-7.036
69,-2.599
70,-0.104
71,-1.089
72,-9.381
73,0.595
74,7.51
75,8.471
76,0.908
77,82.419
78,-8.014
79,0.06
80,4.044
81,-8.397
82,-0.27
83,-2.276
84,0.401
85,3.298
86,-0.974
87,59.17
88,-1.16
89,0.343
90,-7.185
91,0.642
92,-0.513
93,-0.108
94,-5.035
95,0.532
96,-4.439
97,-1.919
98,-6.777
99,8.726
100,-2.597
101,-18.312
102,-5.989
103,-4.192
104,-2.213
105,0.812
106,23.395
107,-0.415
108,-0.238
109,-3.252
110,-1.073
111,-0.36
112,-0.627
113,-1.669
114,0.3
115,26.902
116,-1.186
117,-19.537
118,15.812
119,-1.045
120,-1.278
121,-0.423
122,-1.082
123,2.176
124,1.714
125,-2.678
126,1.165
127,3.705
128,15.147
129,7.093
130,0.128
131,0.24
132,-0.725
133,-36.216
134,-2.866
135,-2.883
136,-0.295
137,-1.293
138,0.238
139,-1.288
140,-0.218
141,-20.998
142,-2.76
143,-0.473
144,-4.36
145,-12.844
146,1.707
147,26.244
148,-0.625
149,-2.589
150,17.139
151,0.099
152,27.315
153,4.166
154,-0.689
155,0.704
156,-0.92
157,1.349
158,2.237
159,3.811
160,-5.54
161,-0.931
162,0.425
163,0.795
164,-12.518
165,1.959
166,7.628
167,-1.331
168,-0.782
169,-1.255
170,0.057
171,-0.373
172,0.536
173,2.83
174,6.411
175,21.709
176,-1.358
177,-0.224
178,1.647
179,16.266
180,0.533
181,0.106
182,3.754
183,3.414
184,-0.929
185,-0.083
186,-0.883
187,13.563
188,-17.923
189,-0.671
190,-19.539
191,-34.613
192,-0.374
193,-0.574
194,0.083
195,-0.971
196,9.806
197,2.028
198,0.091
199,5.757
200,4.475
201,34.962
202,4.089
203,-0.386
204,-3.492
205,1.246
206,3.817
207,38.075
208,-5.013
209,-31.402
210,-0.158
211,1.686
212,-0.01
213,-1.185
214,4.804
215,15.437
216,0.047
217,14.003
218,11.328
219,8.009
220,66.987
221,-1.113
222,0.908
223,-20.382
224,-2.374
225,-3.215
226,-0.407
227,-0.09
228,-7.886
229,1.403
230,1.145
231,-19.528
232,-17.78
233,-9.599
234,58.194
235,-2.138
236,-0.606
237,-0.873
238,-6.25
239,-20.066
240,3.311
241,0.243
242,-1.311
243,-0.249
244,3.358
245,-1.766
246,47.041
247,-0.559
248,0.6
249,-1.877
250,2.382
251,-7.817
252,5.195
253,-9.941
254,-0.508
255,3.569
256,-1.383
257,-2.045
258,0.693
259,-75.036
260,9.72
261,-0.842
262,0.135
263,-10.266
264,7.893
265,84.804
266,-26.239
267,17.731
268,1.678
269,-0.422
270,10.586
271,1.359
272,2.243
273,-0.831
274,-16.936
