sloj,n,mean,median,sd,iqr,q1,q3,min,max,skewness,kurtosis
random_ceste_biased,274,1026.67,808.98,918.17,1264.58,284.91,1549.49,0.11,4732.73,1.0857,0.9265
nasumicni_lokaliteti_umjetno_generirani,274,1188.29,899.22,986.41,1274.76,443.47,1718.22,15.06,5211.61,1.1776,1.298
neolitik_svi_odredeni,274,848.07,524.57,841.04,1018.84,203.46,1222.3,6.83,3846.93,1.3804,1.3114
neolitik_c_starcevacka,137,886.08,569.1,868.3,1036.85,229.58,1266.43,31.81,3846.93,1.3936,1.2678
neolitik_c_sop_kor_len,191,896.06,546.61,886.8,1059.63,205.27,1264.9,6.83,3657.62,1.2456,0.7077
kontinuirana_naselja,54,1114.26,755.06,1024.75,1437.41,262.31,1699.72,31.81,3532.71,0.9243,-0.4211
samo_rani,83,737.62,512.04,717.71,695.76,199.05,894.81,68.53,3846.93,1.7171,3.4886
samo_srednji_kasni,137,810.06,445.42,814.29,1028.89,192.99,1221.88,6.83,3657.62,1.3497,1.276
