sloj,n,mean,median,sd,iqr,q1,q3,min,max,skewness,kurtosis
random_ceste_biased,272,4.9353,4.5,1.7303,1.9,3.7,5.6,3.0,14.7,2.118,6.6632
nasumicni_lokaliteti_umjetno_generirani,272,5.8478,4.9,3.2107,2.75,3.8,6.55,3.0,20.4,2.1242,4.4639
neolitik_svi_odredeni,274,4.7153,4.3,1.4377,2.0,3.5,5.5,3.0,10.4,1.1278,1.2286
neolitik_c_starcevacka,137,4.9993,4.7,1.3849,2.1,3.8,5.9,3.0,8.4,0.4852,-0.6812
neolitik_c_sop_kor_len,191,4.6257,4.3,1.4341,1.9,3.5,5.4,3.0,10.4,1.3319,2.1053
kontinuirana_naselja,54,5.1185,5.2,1.3114,2.125,3.975,6.1,3.1,7.6,0.1021,-1.136
samo_rani,83,4.9217,4.6,1.4331,2.0,3.75,5.75,3.0,8.4,0.7046,-0.3736
samo_srednji_kasni,137,4.4314,4.1,1.4383,1.6,3.4,5.0,3.0,10.4,1.8755,4.198
