fid,dist_rijeka
1,1213.3221707203218
4,1037.7623234296323
5,834.3892161467103
9,229.58447072505106
11,2151.3424032251633
18,113.27468511051366
25,2688.7100821646777
26,3370.564540953838
28,440.6859970988866
30,865.417099995939
40,1690.6043151367671
41,156.76378923954908
42,1209.6086232137916
48,2302.2210524025854
69,421.2416532725952
71,473.0795266071923
80,188.12536188395163
90,195.3544838416441
103,189.4509742651447
110,621.6053190178446
113,300.2912932299327
116,349.13882137582135
126,331.38344984765723
180,988.407429399513
283,1539.5110630092686
474,776.4555458420211
481,404.6158747955429
490,192.71742910507095
496,249.65498387175307
513,232.44083381590437
514,343.0698400600914
516,131.15659558280393
517,72.22656572572927
520,227.81201413011888
521,733.6617661700982
522,1266.4297610294389
523,1387.8714313178907
525,715.6900921973906
526,457.497283225977
528,1702.757967157586
529,2075.5023596302094
535,31.809683707314544
540,3532.712971214667
541,3222.177180517164
542,2976.709625759334
543,2803.948753856117
544,2992.0086250061204
545,2681.6966270051857
546,2565.0073485548337
552,136.19444980512662
556,1008.0172906833945
557,546.6080721840344
562,988.4626320300109
592,1813.547049797461
