fid,dist_rijeka
1,1213.3221707203218
2,324.81530625276093
3,696.9573779083391
4,1037.7623234296323
5,834.3892161467103
6,283.32459369821026
7,132.61204777649044
8,171.42582116215775
9,229.58447072505106
11,2151.3424032251633
12,123.41729887288004
14,2424.8991789566808
15,101.12660178268602
16,148.10535313809385
17,77.63071917712317
18,113.27468511051366
19,1751.9621417863561
20,109.06388102163568
21,452.08603122930606
22,2734.9273908546925
23,1355.6020141050424
25,2688.7100821646777
26,3370.564540953838
27,191.73882211670647
28,440.6859970988866
29,68.53298042426209
30,865.417099995939
31,1643.4540608808898
32,476.4599537417166
33,84.68582560745473
34,355.6223790222662
35,1276.9117096836965
36,91.92231089529925
37,520.2863820629257
38,325.7542750124183
39,416.4532693623018
40,1690.6043151367671
41,156.76378923954908
42,1209.6086232137916
43,119.31030307671047
44,280.4074730254987
45,897.5043071904888
48,2302.2210524025854
49,2048.051671014696
50,569.0992521378062
51,188.2719293865143
52,727.2076690441621
53,154.16183862390994
54,274.5204201552125
55,273.6068866866526
56,712.4299702061409
57,866.2610055494545
58,747.3517409200733
59,2046.081382499211
60,597.2451328244621
62,201.08876016131308
69,421.2416532725952
71,473.0795266071923
80,188.12536188395163
90,195.3544838416441
92,1288.1811376618193
103,189.4509742651447
105,864.9277637238529
106,1877.366499749768
110,621.6053190178446
113,300.2912932299327
116,349.13882137582135
126,331.38344984765723
132,1092.6639240554948
140,75.17775171144802
180,988.407429399513
211,96.91953576282542
227,1570.804106236265
247,612.9745674909751
279,1182.3238110598202
283,1539.5110630092686
312,892.123819289509
313,548.738281378899
314,276.75859687467755
315,833.5759008830086
472,367.2063223882859
473,860.1699826086307
474,776.4555458420211
475,673.0196213358314
476,842.2124933480178
477,300.75866221316954
478,794.8007684085169
479,512.0424078249172
481,404.6158747955429
490,192.71742910507095
492,208.7283983656684
496,249.65498387175307
513,232.44083381590437
514,343.0698400600914
515,260.0752900179717
516,131.15659558280393
517,72.22656572572927
520,227.81201413011888
521,733.6617661700982
522,1266.4297610294389
523,1387.8714313178907
524,148.7443001843566
525,715.6900921973906
526,457.497283225977
527,258.11226903925547
528,1702.757967157586
529,2075.5023596302094
530,197.01966101221723
531,726.8212375663788
532,1319.561577430695
533,443.10245020635375
534,141.09306627118627
535,31.809683707314544
536,853.4981364557328
537,277.6881135836113
538,89.70203955953833
539,132.2491079490613
540,3532.712971214667
541,3222.177180517164
542,2976.709625759334
543,2803.948753856117
544,2992.0086250061204
545,2681.6966270051857
546,2565.0073485548337
547,3846.927466327698
548,2293.398336730043
549,863.6251159795332
550,1120.706822825469
551,1603.3147678881598
552,136.19444980512662
553,488.1413420735917
556,1008.0172906833945
557,546.6080721840344
562,988.4626320300109
592,1813.547049797461
656,1718.2754254379429
657,1626.5125685689031
