fid,dist_rijeka
2,324.81530625276093
3,696.9573779083391
6,283.32459369821026
7,132.61204777649044
8,171.42582116215775
12,123.41729887288004
14,2424.8991789566808
15,101.12660178268602
16,148.10535313809385
17,77.63071917712317
19,1751.9621417863561
20,109.06388102163568
21,452.08603122930606
22,2734.9273908546925
23,1355.6020141050424
27,191.73882211670647
29,68.53298042426209
31,1643.4540608808898
32,476.4599537417166
33,84.68582560745473
34,355.6223790222662
35,1276.9117096836965
36,91.92231089529925
37,520.2863820629257
38,325.7542750124183
39,416.4532693623018
43,119.31030307671047
44,280.4074730254987
45,897.5043071904888
49,2048.051671014696
50,569.0992521378062
51,188.2719293865143
52,727.2076690441621
53,154.16183862390994
54,274.5204201552125
55,273.6068866866526
56,712.4299702061409
57,866.2610055494545
58,747.3517409200733
59,2046.081382499211
60,597.2451328244621
62,201.08876016131308
92,1288.1811376618193
105,864.9277637238529
106,1877.366499749768
132,1092.6639240554948
140,75.17775171144802
211,96.91953576282542
227,1570.804106236265
247,612.9745674909751
279,1182.3238110598202
312,892.123819289509
313,548.738281378899
314,276.75859687467755
315,833.5759008830086
472,367.2063223882859
473,860.1699826086307
475,673.0196213358314
476,842.2124933480178
477,300.75866221316954
478,794.8007684085169
479,512.0424078249172
492,208.7283983656684
515,260.0752900179717
524,148.7443001843566
527,258.11226903925547
530,197.01966101221723
531,726.8212375663788
532,1319.561577430695
533,443.10245020635375
534,141.09306627118627
536,853.4981364557328
537,277.6881135836113
538,89.70203955953833
539,132.2491079490613
547,3846.927466327698
548,2293.398336730043
549,863.6251159795332
550,1120.706822825469
551,1603.3147678881598
553,488.1413420735917
656,1718.2754254379429
657,1626.5125685689031
