varijabla,test,k_kat,n_cramers,statistika,p_value,znacajnost_005,znacajnost_005_bonf,cramers_v,cramers_v_interp,cohens_w,cohens_w_interp,promjena_interp
aspect_cat4,chi2_2samp,4.0,60.0,6.757305194805195,0.08004903969892115,False,False,0.33559164656879237,srednji,0.33559164656879237,srednji,False
vtt_r100,chi2_2samp,4.0,274.0,4.431619085257749,0.2184714115424729,False,False,0.1271762253015971,mali,0.1271762253015971,mali,False
vtt_r250,chi2_2samp,4.0,274.0,4.321507423159471,0.2287747572745647,False,False,0.12558632450247864,mali,0.12558632450247864,mali,False
vtt_r500,chi2_2samp,4.0,274.0,6.445324932902306,0.09184387278461392,False,False,0.15337236940441307,mali,0.15337236940441307,mali,False
vtt_r1000,chi2_2samp,4.0,274.0,7.99670454323339,0.046079861965768305,True,False,0.1708363341841955,mali,0.1708363341841955,mali,False
