group,fid,dist_rijeka_m
nasumicno,29,195.92
nasumicno,30,928.4
nasumicno,31,3099.84
nasumicno,32,455.11
nasumicno,33,5211.61
nasumicno,34,669.0
nasumicno,35,608.9
nasumicno,36,295.41
nasumicno,37,1199.53
nasumicno,38,1949.86
nasumicno,39,91.48
nasumicno,40,891.5
nasumicno,41,550.02
nasumicno,42,125.29
nasumicno,43,2133.06
nasumicno,44,653.47
nasumicno,45,93.39
nasumicno,46,2264.78
nasumicno,47,1417.63
nasumicno,48,869.21
nasumicno,49,384.29
nasumicno,50,1694.23
nasumicno,51,681.39
nasumicno,52,71.79
nasumicno,53,357.04
nasumicno,54,906.94
nasumicno,55,76.93
nasumicno,56,272.83
nasumicno,57,679.96
nasumicno,58,147.15
nasumicno,59,530.41
nasumicno,60,2616.51
nasumicno,61,192.19
nasumicno,62,532.39
nasumicno,63,2995.45
nasumicno,64,145.73
nasumicno,65,187.47
nasumicno,66,855.36
nasumicno,67,1610.05
nasumicno,68,1254.22
nasumicno,69,56.68
nasumicno,70,3019.7
nasumicno,71,174.85
nasumicno,72,1989.04
nasumicno,73,1123.14
nasumicno,74,1379.65
nasumicno,75,939.29
nasumicno,76,1283.41
nasumicno,77,2959.88
nasumicno,78,275.19
nasumicno,79,1349.36
nasumicno,80,722.25
nasumicno,81,1122.65
nasumicno,82,15.06
nasumicno,83,288.45
nasumicno,84,1698.98
nasumicno,85,1241.9
nasumicno,86,2033.11
nasumicno,87,610.75
nasumicno,88,753.56
nasumicno,89,1236.66
nasumicno,90,1285.08
nasumicno,91,2592.21
nasumicno,92,208.51
nasumicno,93,2435.73
nasumicno,94,158.31
nasumicno,95,520.79
nasumicno,96,478.26
nasumicno,97,780.65
nasumicno,98,1606.04
nasumicno,99,2477.02
nasumicno,100,1632.23
nasumicno,101,1557.7
nasumicno,102,1902.73
nasumicno,103,1088.97
nasumicno,104,545.95
nasumicno,105,1347.3
nasumicno,106,2664.0
nasumicno,107,1886.26
nasumicno,108,146.68
nasumicno,109,36.18
nasumicno,110,38.17
nasumicno,111,258.93
nasumicno,112,15.78
nasumicno,113,2163.75
nasumicno,114,1421.82
nasumicno,115,1724.64
nasumicno,116,968.97
nasumicno,117,3896.7
nasumicno,118,627.62
nasumicno,119,1375.27
nasumicno,120,839.78
nasumicno,121,786.49
nasumicno,122,282.1
nasumicno,123,1059.4
nasumicno,124,375.06
nasumicno,125,74.05
nasumicno,126,1679.61
nasumicno,127,1595.16
nasumicno,128,1376.79
nasumicno,129,791.06
nasumicno,130,1225.97
nasumicno,131,1191.17
nasumicno,132,168.4
nasumicno,133,3567.7
nasumicno,134,1265.22
nasumicno,135,1189.06
nasumicno,136,1731.55
nasumicno,137,286.95
nasumicno,138,1244.85
nasumicno,139,1341.6
nasumicno,140,19.98
nasumicno,141,1634.41
nasumicno,142,787.21
nasumicno,143,459.69
nasumicno,144,75.97
nasumicno,145,771.75
nasumicno,146,796.52
nasumicno,147,1465.74
nasumicno,148,565.16
nasumicno,149,48.15
nasumicno,150,757.3
nasumicno,151,3165.63
nasumicno,152,2739.38
nasumicno,153,853.02
nasumicno,154,556.83
