sloj,n,mean,median,sd,iqr,q1,q3,min,max,skewness,kurtosis
random_ceste_biased,274,116.7634,94.1542,60.2301,34.1093,87.0502,121.1595,73.322,616.3355,4.3009,25.7873
nasumicni_lokaliteti_umjetno_generirani,274,165.5462,104.2141,140.8,84.7084,89.1183,173.8267,74.135,747.07,2.4573,5.6222
neolitik_svi_odredeni,274,114.2851,97.9818,44.9165,31.259,88.6565,119.9155,78.9873,488.0724,3.7237,21.1569
neolitik_c_starcevacka,137,119.238,109.4273,42.2558,35.2317,92.1977,127.4294,79.6641,363.768,2.5617,8.7848
neolitik_c_sop_kor_len,191,110.3133,97.0684,41.6708,28.0604,87.0729,115.1333,78.9873,488.0724,4.8679,35.9599
kontinuirana_naselja,54,112.8026,110.7994,23.0835,27.0352,93.6805,120.7158,85.9057,179.4993,1.2296,1.1228
samo_rani,83,123.4249,106.2629,50.7148,43.0466,90.198,133.2447,79.6641,363.768,2.1917,5.6071
samo_srednji_kasni,137,109.3322,91.8973,47.0621,27.3451,85.9341,113.2792,78.9873,488.0724,4.7175,30.8122
